ダウンロードした時刻：2021/07/04 19:18:38,,,,,,
,,,,,,
,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),日照時間(時間),平均風速(m/s),平均湿度(％),平均現地気圧(hPa),平均雲量(10分比)
,,,,,,
2020/8/7,0,8.8,3.4,71,1005,7.5
2020/8/8,0,4.7,2.7,79,1006.1,8.3
2020/8/9,0,7.5,2.4,77,1006.9,9.5
2020/8/10,0,8.8,2.4,73,1010.3,10
2020/8/11,0,12.5,4,67,1009.7,2.8
2020/8/12,0.5,7.2,2.5,79,1009,6.8
2020/8/13,21.5,7.8,2.2,82,1006.4,5
2020/8/14,0,8.3,2.8,78,1005.5,2
2020/8/15,0,10,2.1,76,1004,3.8
2020/8/16,0,9.7,2.7,74,1006.2,7.3
2020/8/17,0,7,2.7,76,1007.2,7.8
2020/8/18,0,4.2,2.8,71,1007.2,8.8
2020/8/19,0,10.8,2.7,72,1008.3,5.3
2020/8/20,0,11.1,3.2,74,1008.9,1
2020/8/21,0,10.5,2.8,72,1009.5,2.3
2020/8/22,0,8,2.7,75,1008.5,6
2020/8/23,38,1.9,2,87,1006.2,9.8
2020/8/24,0,6.7,2.7,79,1004.9,5
2020/8/25,0,7.2,2.7,75,1007.7,6.3
2020/8/26,0,10.4,2.7,77,1009.4,6
2020/8/27,0,7.4,3.1,79,1009.7,4.5
2020/8/28,0,7.7,3.3,76,1009.3,4.3
2020/8/29,0,11.7,3.3,73,1007.9,3.8
2020/8/30,0,9.4,3.3,73,1007.1,4.5
2020/8/31,1,3.4,2.9,80,1008.3,8.3
2020/9/1,1,0.5,2.3,85,1010.4,10
2020/9/2,7.5,1.4,2.5,93,1010.4,10
2020/9/3,3.5,4.9,4.2,85,1009.2,8.5
2020/9/4,0,10.7,3,76,1010.7,7.5
2020/9/5,8.5,7.3,2.8,79,1009.9,6.5
2020/9/6,25.5,2.3,2.7,94,1010.4,9.8
2020/9/7,19,1.4,4.4,93,1010.7,9.5
2020/9/8,0,10.1,5.1,73,1012.1,4
2020/9/9,0.5,11.3,3.7,72,1010.2,2.8
2020/9/10,0,3.9,3.8,80,1008.7,9
2020/9/11,0,6,3.1,79,1011.8,6.8
2020/9/12,14.5,0,2.5,97,1011.3,10
2020/9/13,0.5,1.3,2.4,89,1008.4,7.5
2020/9/14,0.5,0.7,2.3,86,1008.2,10
2020/9/15,0.5,2.3,2,82,1010.9,9
2020/9/16,2,0.7,2.1,81,1011.1,9.8
2020/9/17,0,1.1,2.1,88,1009.2,9.5
2020/9/18,0,4.4,5.5,74,1004.4,9
2020/9/19,0,0,2.9,78,1008.4,8.8
2020/9/20,0.5,0,2,80,1011.1,10
2020/9/21,0.5,3.9,2.1,78,1012,6
2020/9/22,3.5,5.5,2.5,76,1014.5,9
2020/9/23,7.5,0,2.7,95,1012,10
2020/9/24,10,0,3.2,92,1010.9,10
2020/9/25,5.5,0,3.2,95,1004.1,10
2020/9/26,6,0,2.1,97,1005.5,10
2020/9/27,0.5,1.3,1.6,88,1007,9.8
2020/9/28,0,10.8,2.5,71,1009.7,3.5
2020/9/29,0,3.5,3,67,1009,10
2020/9/30,0,10.4,2.6,66,1005.1,3.8
2020/10/1,1,2.2,1.7,85,1008,7.8
2020/10/2,0,10.7,2.5,72,1013.8,2.8
2020/10/3,0,3.9,1.7,74,1014.3,8.5
2020/10/4,0,1.5,2,77,1009.5,10
2020/10/5,0,1.5,2,81,1003.8,10
2020/10/6,0,2.7,2.6,52,1012.9,8.3
2020/10/7,6,3.2,2.7,73,1021.3,8.5
2020/10/8,44,0,2.4,99,1023.2,10
2020/10/9,38,0,2.8,99,1022.6,10
2020/10/10,73.5,0,2.7,100,1014.7,10
2020/10/11,0.5,0.4,2.7,91,1008.5,10
2020/10/12,0,2.5,2.1,87,1007.9,9.5
2020/10/13,0,4.2,2.5,79,1009.5,8.5
2020/10/14,0,0.7,2.3,67,1015.1,10
2020/10/15,1,0,2.7,83,1017,10
2020/10/16,0,4.1,2.9,59,1018.4,9.5
2020/10/17,23,0,2.2,93,1018.7,10
2020/10/18,0.5,4.2,2.1,83,1019.1,7
2020/10/19,9,0,2.4,89,1020,7.5
2020/10/20,0,7.7,2.3,75,1022,5.3
2020/10/21,0,7.5,2.6,69,1022.3,4.8
2020/10/22,0,3,2.3,70,1015.2,10
2020/10/23,8.5,0,2,93,1000.6,10
2020/10/24,0,7.8,3.1,56,1002.8,5
2020/10/25,0,8.4,2.6,55,1009.7,1.5
2020/10/26,0,8.6,2,65,1013.3,6.3
2020/10/27,0,6,2.2,65,1016.5,8.3
2020/10/28,0,2.2,1.7,73,1016.4,8
2020/10/29,0,9.7,2.9,55,1013.4,4.8
2020/10/30,0,1.6,3.2,47,1015.8,6.3
2020/10/31,0,9.6,2.4,54,1022.7,0
2020/11/1,0,2.7,2.1,69,1022.6,7.5
2020/11/2,2.5,2.7,1.8,78,1014.1,8
2020/11/3,4.5,0.2,1.8,92,1004.4,10
2020/11/4,0,8.6,3,47,1011.7,2
2020/11/5,0,9.2,2.1,56,1021.2,0.5
2020/11/6,0,0.4,1.7,67,1022,9.8
2020/11/7,0,1.2,1.6,77,1012.2,9.5
2020/11/8,2.5,1.1,1.8,75,1006.3,10
2020/11/9,0,2.9,3.1,44,1010.5,4.3
2020/11/10,0,8.7,2.4,50,1016.9,2.8
2020/11/11,0,9.1,3.1,48,1025.6,1.5
2020/11/12,0,0.5,2.2,63,1029.7,7.3
2020/11/13,0,8.7,1.7,67,1021.9,3.8
2020/11/14,0,9.3,2.4,56,1023,0
2020/11/15,0,9.2,2.5,65,1025.7,3.8
2020/11/16,0,9.2,1.5,66,1020.3,3
2020/11/17,0,8.5,2.3,62,1024.8,0.5
2020/11/18,0,8.3,2,77,1022.3,5.3
2020/11/19,0,7,3.6,74,1015.6,8.5
2020/11/20,0,0.4,5.5,73,1004.9,10
2020/11/21,0,9.1,3.6,46,1012.3,2.5
2020/11/22,0,8,2.8,66,1015.7,1.3
2020/11/23,0,5.6,2.6,54,1011.2,7.5
2020/11/24,0,0,2.7,56,1021.4,10
2020/11/25,5,0,2.3,94,1019.6,10
2020/11/26,0,8,1.5,81,1017.9,4.8
2020/11/27,0,1.2,2.5,78,1016.5,9.5
2020/11/28,0,8.8,3.5,56,1010.5,5
2020/11/29,0,1.2,2,56,1018.9,8
2020/11/30,0,6.8,1.8,69,1020.6,6.3
2020/12/1,0,8.8,2,66,1024.4,0.8
2020/12/2,8,0,2.3,81,1022.8,9.8
2020/12/3,0,0,2.1,91,1014.5,8
2020/12/4,0,7.1,2.1,61,1019.4,5.3
2020/12/5,3.5,0,2.1,86,1021.7,10
2020/12/6,0,5.8,1.6,80,1021.1,4.8
2020/12/7,0,8.8,1.5,71,1016.8,0.8
2020/12/8,0,6.7,2,66,1014.4,5
2020/12/9,0,0.7,2.1,61,1020.2,10
2020/12/10,0,0.4,2.2,72,1016.1,7.5
2020/12/11,0,4.3,1.7,76,1013.6,5.5
2020/12/12,0,2.3,2,70,1005.4,10
2020/12/13,0,6.2,1.7,72,1006.2,3.5
2020/12/14,0,4.6,2.7,62,1004.8,8.5
2020/12/15,0,7,2.5,45,1007.8,4.5
2020/12/16,0,6.1,1.9,43,1009,2.8
2020/12/17,0,8.9,2.7,42,1013.9,0.3
2020/12/18,0,8.6,1.7,52,1014.4,2.5
2020/12/19,0,2.2,2.6,48,1012.4,5.8
2020/12/20,0,8.9,2.8,45,1016.7,0.8
2020/12/21,0,9,1.7,40,1018.9,0
2020/12/22,0,8,1.8,61,1018.9,1.8
2020/12/23,0,8.9,2,54,1017.7,2.5
2020/12/24,0,1.7,1.9,56,1009.4,7.5
2020/12/25,0,8.3,2.2,49,1004.8,5.5
2020/12/26,0,8.8,1.7,51,1015.8,2.3
2020/12/27,0,6.8,1.9,59,1019.7,7.8
2020/12/28,0,4,1.6,72,1015.9,5.5
2020/12/29,0,4.5,1.6,66,1014.2,5.8
2020/12/30,1.5,1.6,3.4,68,992.5,10
2020/12/31,0,8.9,3.3,34,1006,0.8
2021/1/1,0,8.7,1.5,40,1010.4,0
2021/1/2,0,8.8,2,53,1013.3,2
2021/1/3,0,8.8,1.6,52,1019.3,4
2021/1/4,0,7.7,1.8,52,1020.6,4.8
2021/1/5,0,1,1.7,67,1015.9,10
2021/1/6,0,0.4,2.4,73,1011.1,10
2021/1/7,0,7.4,4,47,1000.9,7.5
2021/1/8,0,5.4,1.8,42,1004.7,4
2021/1/9,0,8.5,2.3,31,1006.2,2
2021/1/10,0,8.9,2,44,1013.1,2.3
2021/1/11,0,0.8,2,47,1019.7,7.5
2021/1/12,0,0,2.3,68,1012.6,10
2021/1/13,0,9.1,1.8,64,1011.3,1.3
2021/1/14,0,9,1.8,55,1014.7,0
2021/1/15,0,0,2.1,68,1019.4,7.5
2021/1/16,0,8.8,2.7,61,1008.9,3.3
2021/1/17,0,0.2,2.2,52,1012.1,9.8
2021/1/18,0,5.4,2,67,1010.2,5
2021/1/19,0,9.2,4.1,40,1014.4,0
2021/1/20,0,9.2,2.8,41,1025.5,0.3
2021/1/21,0,9.1,1.8,53,1022.2,4
2021/1/22,0,7.7,1.4,48,1014.8,6.5
2021/1/23,19,0,3.1,85,1018.2,10
2021/1/24,13,0,3.6,95,1018.2,10
2021/1/25,1.5,8.8,1.9,74,1022.6,7.3
2021/1/26,0,2.2,1.7,73,1020.9,5.8
2021/1/27,1,0.8,2.5,68,1009.8,9.5
2021/1/28,9,0.2,2.5,78,1009.7,10
2021/1/29,0,7.5,3.2,54,1000.9,4.5
2021/1/30,0,9.4,2.9,36,1014.6,0
2021/1/31,0,9.4,2.6,42,1022.2,0
2021/2/1,0,4.5,2.7,57,1020.3,6.5
2021/2/2,12,4.2,3.2,67,1004.4,7.3
2021/2/3,0,9,2,42,1011.6,1.3
2021/2/4,0,9.5,2.9,42,1010.6,0
2021/2/5,0,8.9,2.4,53,1015.2,4
2021/2/6,0,9.4,1.7,55,1010.1,1.8
2021/2/7,0,9.1,2.4,49,1007.4,2
2021/2/8,0,2.7,3.2,41,1008,5.8
2021/2/9,0,9.7,4,32,1014.5,0
2021/2/10,0,8,2.3,48,1014.6,5
2021/2/11,0,9.4,3.5,44,1016.7,3.5
2021/2/12,0,1.5,1.9,56,1024.4,10
2021/2/13,0,9.4,2.4,66,1024.2,5
2021/2/14,0,6.4,2.9,64,1017.7,5.8
2021/2/15,76.5,0.6,2.7,91,993.1,7.5
2021/2/16,0,10,3,38,996.1,0
2021/2/17,0,7,4,37,995.2,2.3
2021/2/18,0,7,2.9,35,1002,4.3
2021/2/19,0,10,3.2,41,1009.5,0.3
2021/2/20,0,9.9,3.3,47,1004.8,0
2021/2/21,0,9.9,2.3,56,1007.4,0
2021/2/22,0,10.2,2.7,53,1006,1.5
2021/2/23,0,9.7,4.3,39,1007.4,3.8
2021/2/24,0,10.1,4.3,34,1017.1,7
2021/2/25,0,8.5,3,45,1020.6,4.5
2021/2/26,0,0,2.7,43,1017.3,10
2021/2/27,0,9.9,3.7,38,1024.7,5.3
2021/2/28,0,10.4,2.4,54,1030.5,3.3
2021/3/1,0.5,7.3,3.3,64,1021.4,7
2021/3/2,9.5,0.2,5.6,82,1005.9,10
2021/3/3,0,10.8,4.6,43,1022.7,5
2021/3/4,0,8.4,2.4,60,1028.7,9
2021/3/5,2,3.6,1.7,78,1020.8,9.8
2021/3/6,0.5,4.9,2.3,70,1014.9,10
2021/3/7,0,0.2,2.9,56,1023.8,10
2021/3/8,5.5,0,2.6,87,1021.7,10
2021/3/9,0,3.7,2.2,70,1020.9,10
2021/3/10,0,10.3,3.5,45,1017.1,3
2021/3/11,0,10.7,2.4,52,1024.7,2.5
2021/3/12,0,2.8,1.9,63,1020.8,10
2021/3/13,65,0,3.3,95,1005.6,9.5
2021/3/14,0,10.8,5.6,46,1004.2,0.8
2021/3/15,0,11.3,3.8,34,1010.9,0.3
2021/3/16,0,7.7,2.8,46,1006,8.5
2021/3/17,0,9.6,3.6,38,1008.9,2.5
2021/3/18,0,10.9,2.6,49,1015.5,2
2021/3/19,0,7.6,2.7,57,1016.9,8
2021/3/20,0,1,2,68,1017,10
2021/3/21,46.5,0,5.2,95,1003.3,10
2021/3/22,0.5,1.8,3.5,54,1004.9,10
2021/3/23,0,11.6,2.9,46,1017.5,0.5
2021/3/24,0,11.5,3.5,61,1020.5,5
2021/3/25,0.5,2,3,76,1015.4,10
2021/3/26,0,10.8,3.4,42,1012.7,2.5
2021/3/27,0,10.2,3.3,49,1019.4,7.3
2021/3/28,8,0,4.5,80,1011.5,10
2021/3/29,34.5,10.5,2.7,84,1000.4,7.5
2021/3/30,0,3.1,2.4,76,1005.3,9.8
2021/3/31,0,9.9,3.2,54,1008.7,5
2021/4/1,0,6.5,2.8,61,1017.8,7.8
2021/4/2,0,1,2.6,63,1024.4,9.8
2021/4/3,0,8.1,2.7,63,1019.2,5.8
2021/4/4,10.5,3.3,4.1,75,1008.5,9
2021/4/5,18,0,3.2,89,1008.8,8
2021/4/6,0,2.5,2.8,65,1016.4,7
2021/4/7,0,10.9,2.5,59,1010.7,2.8
2021/4/8,2.5,8.2,3.4,65,1010.6,5
2021/4/9,0,5.3,3.1,46,1016.8,5.8
2021/4/10,0,9.3,3,42,1027.3,4.3
2021/4/11,0,11.9,2.7,58,1030.7,0.5
2021/4/12,0,9.9,3,60,1028.6,6
2021/4/13,0.5,0.7,3.8,79,1015.7,10
2021/4/14,36,0,3.6,96,1003.7,10
2021/4/15,0,10.1,3.1,53,1018.6,6.5
2021/4/16,0,1.7,2.6,64,1023.5,9.5
2021/4/17,33.5,0,3.2,80,1013.1,10
2021/4/18,15,12.2,4.2,51,996.3,3
2021/4/19,0,12.1,3.5,41,1007.4,0
2021/4/20,0,12.1,2.5,52,1012,2.5
2021/4/21,0,12.3,3.1,35,1015.6,0
2021/4/22,0,8.7,4.2,32,1016.1,3.3
2021/4/23,0,12.4,3.1,52,1019.6,1.5
2021/4/24,0,11,2.6,57,1017.2,8.3
2021/4/25,0,5.7,3.1,58,1009.5,6
2021/4/26,0,12.6,3.3,35,1015.3,1.8
2021/4/27,0,10.1,3.5,54,1020.2,4.8
2021/4/28,0,8,3.8,63,1016.1,7.8
2021/4/29,37,0,4.4,91,1005.5,10
2021/4/30,3,11.9,3.4,64,998.7,5
2021/5/1,8,7.9,4,73,1002.1,6.8
2021/5/2,2,7.8,4.2,66,996.9,5.5
2021/5/3,0,9.2,3.7,42,1009.6,5.3
2021/5/4,0,11.4,2.6,52,1014,5
2021/5/5,3,1.6,5.3,72,1012.8,9.3
2021/5/6,3.5,6.7,2.8,75,1013.5,10
2021/5/7,1,0.7,1.8,83,1009.8,10
2021/5/8,0,7.2,2.9,71,1002.5,5.5
2021/5/9,0,7.8,4.3,56,998.6,4.8
